,AA,ALB,FCX,NEM,NUE,SCCO,STLD,ROCK,WIRE,WPM,XME
2015-09-01,27.63,42.86,9.76,16.73,42.04,25.43,18.8,15.98,31.3,11.83,19.54
2015-09-02,27.99,42.73,9.89,16.22,42.81,26.44,19.44,16.66,31.61,11.69,19.68
2015-09-03,28.68,42.87,10.12,16.19,42.88,27.16,19.23,16.5,32.13,11.585,19.62
2015-09-04,28.47,42.43,9.7,15.71,41.68,26.36,18.69,16.37,32.12,11.41,19.32
2015-09-08,29.145,42.98,10.4,15.95,42.54,27.74,19.63,16.56,33.3,11.67,19.68
2015-09-09,28.71,43.03,10.74,15.62,41.55,27.5,19.19,16.76,33.3,11.39,19.31
2015-09-10,28.86,42.81,11.28,15.56,41.83,28.13,19.03,16.5,33.16,11.42,19.01
2015-09-11,28.92,42.01,11.39,16.24,42.1,28.2,18.79,16.92,32.71,11.625,18.83
2015-09-14,28.14,41.89,11.17,15.88,40.72,27.7,18.1,16.67,32.13,11.15,18.32
2015-09-15,28.89,44.27,11.29,15.97,40.9,27.83,18.0,17.04,32.75,11.5,18.51
2015-09-16,29.58,44.75,11.84,16.93,41.62,28.28,18.19,17.47,33.94,12.3457,19.07
2015-09-17,29.85,45.05,12.05,17.23,41.34,28.16,18.0,17.45,33.8,12.52,19.0099
2015-09-18,29.91,45.68,10.7399,16.97,40.26,27.14,17.88,16.71,32.32,12.39,18.41
2015-09-21,29.73,46.4,10.53,16.63,40.26,27.03,17.92,16.44,32.09,12.19,18.09
2015-09-22,28.515,45.72,10.6,15.6,39.1122,26.67,17.33,16.29,31.87,11.78,17.3
2015-09-23,27.6,45.29,9.99,15.54,38.45,26.38,17.03,16.48,31.0,11.57,16.77
2015-09-24,27.6,45.21,9.99,16.77,38.64,26.89,17.58,16.76,31.51,12.52,17.42
2015-09-25,27.24,45.13,9.79,16.6,38.52,26.67,17.25,17.05,31.84,12.44,16.9299
2015-09-28,28.83,41.78,8.91,16.0,37.03,25.88,16.68,17.61,31.6,11.78,16.43
2015-09-29,28.38,42.51,9.115,15.8115,37.15,26.09,16.83,17.84,32.22,11.82,16.47
2015-09-30,28.95,44.08,9.68,16.06,37.55,26.705,17.18,18.41,32.68,12.02,16.73
2015-10-01,27.84,45.19,9.82,15.83,37.6,27.2099,17.21,18.3,32.71,11.52,16.58
2015-10-02,28.56,46.15,10.63,17.08,38.0,27.6,17.8,18.35,34.07,12.78,17.35
2015-10-05,31.2,47.44,11.185,17.94,39.82,28.36,18.18,18.7501,36.18,13.56,18.27
2015-10-06,32.94,47.61,11.84,18.36,39.93,28.67,18.16,18.53,35.7201,14.46,19.05
2015-10-07,32.79,48.9,13.015,18.95,40.57,28.9,18.93,18.75,36.89,14.43,19.2
2015-10-08,33.03,50.58,13.46,18.65,41.27,28.92,19.07,19.12,38.26,14.19,19.59
2015-10-09,30.78,50.74,13.48,18.94,41.47,30.16,19.08,19.18,38.0,14.45,19.77
2015-10-12,30.24,50.49,12.94,18.44,41.29,29.83,19.08,19.02,37.195,13.89,19.09
2015-10-13,30.09,50.24,12.73,18.36,41.52,29.36,19.12,18.98,36.4299,13.7,19.01
2015-10-14,29.79,51.44,13.05,19.48,41.51,29.405,19.15,18.92,36.61,14.74,19.19
2015-10-15,29.1,51.48,13.0,19.31,42.185,29.37,19.36,19.55,38.07,14.86,19.58
2015-10-16,28.65,52.45,12.45,18.995,42.17,28.78,18.95,21.79,37.47,14.29,19.06
2015-10-19,28.29,52.22,12.03,18.55,41.12,28.48,18.1,21.63,38.09,13.64,18.4
2015-10-20,28.26,52.1,12.24,18.85,40.89,28.51,17.85,21.983,37.97,14.01,18.2701
2015-10-21,27.36,51.17,11.95,18.43,40.3,28.04,17.69,21.95,37.29,13.56,17.78
2015-10-22,27.3,52.39,12.01,19.05,42.6,28.45,18.46,22.1,38.0,13.87,18.28
2015-10-23,27.39,52.57,12.13,19.55,43.5,29.01,18.72,21.96,43.12,14.39,18.53
2015-10-26,26.31,52.66,12.0228,18.81,42.37,28.595,18.26,21.6,42.44,14.27,17.74
2015-10-27,26.16,51.92,11.6,18.79,42.38,28.16,18.3,21.5,41.23,14.47,17.31
2015-10-28,26.97,53.59,11.77,19.15,42.65,28.08,18.66,24.5,43.17,14.61,17.54
2015-10-29,26.85,54.29,11.62,19.9,42.33,27.63,18.56,24.91,42.76,13.75,17.22
2015-10-30,26.82,53.53,11.76,19.46,42.33,27.76,18.47,25.32,42.71,13.59,17.2301
2015-11-02,27.54,54.25,11.82,19.63,43.54,28.05,19.325,25.95,43.24,13.72,17.855
2015-11-03,28.17,54.67,12.4,19.21,43.38,28.15,18.6,25.88,42.92,13.66,18.0199
2015-11-04,28.17,54.22,12.01,19.0,42.73,27.86,18.43,26.22,43.375,13.63,17.72
2015-11-05,27.6,49.44,11.48,17.5,42.28,27.62,18.38,25.97,43.8,12.96,17.2
2015-11-06,27.27,50.68,10.75,17.53,42.1,26.95,18.35,26.1,44.47,12.53,17.05
2015-11-09,25.83,49.93,10.49,17.87,41.77,26.67,17.72,26.59,43.97,12.72,16.885
2015-11-10,25.08,49.58,9.83,17.48,41.72,26.8,17.1,26.31,44.28,12.46,16.71
2015-11-11,24.24,48.9,9.3001,17.79,41.21,26.63,17.23,26.02,44.28,12.36,16.44
2015-11-12,23.46,46.91,8.77,17.33,40.11,26.18,17.05,25.07,43.25,12.35,15.95
2015-11-13,23.97,47.6,8.672,17.5,40.64,26.11,17.24,25.18,43.63,12.4,15.97
2015-11-16,24.84,47.98,8.86,17.63,41.1,25.79,17.4,25.18,44.28,12.52,16.2
2015-11-17,24.81,48.525,8.4,16.87,40.53,25.61,17.28,25.27,43.32,12.08,15.63
2015-11-18,25.23,50.8,8.77,17.63,42.16,26.3599,18.02,25.68,43.82,12.67,16.2
2015-11-19,26.25,50.7,8.41,18.04,41.81,26.76,17.88,25.28,43.66,12.93,16.18
2015-11-20,26.13,51.68,8.25,17.725,41.31,27.34,17.66,25.45,43.45,12.54,15.72
2015-11-23,27.24,52.12,8.0,17.56,40.67,25.9801,17.37,25.54,43.33,12.44,15.6
2015-11-24,27.3,53.0,8.31,18.01,42.19,26.07,17.81,26.0801,43.64,12.69,16.05
2015-11-25,28.26,52.91,8.11,17.91,41.64,25.69,17.37,25.81,43.95,12.69,16.055
2015-11-27,27.93,53.13,8.1,17.39,41.75,25.695,17.49,25.9101,43.83,12.59,15.94
2015-11-30,28.08,53.53,8.18,18.42,41.44,25.74,17.4,26.69,43.67,13.13,16.07
2015-12-01,28.38,52.97,8.33,18.39,42.17,26.14,17.53,26.27,43.71,13.53,16.375
2015-12-02,28.08,52.29,7.84,17.86,41.26,25.24,17.22,26.62,43.49,13.36,16.04
2015-12-03,26.97,52.8201,7.69,18.715,40.88,25.71,16.93,27.18,42.53,13.45,15.95
2015-12-04,28.02,53.0,7.84,20.47,41.09,26.81,17.08,27.32,42.86,13.98,16.17
2015-12-07,27.12,51.1,7.23,19.76,40.295,25.98,16.68,27.11,41.56,13.26,15.45
2015-12-08,25.56,49.78,6.74,19.38,39.47,24.79,16.57,26.19,40.69,13.15,15.17
2015-12-09,26.22,50.0,6.99,19.61,40.01,25.22,16.59,25.38,39.83,13.23,15.36
2015-12-10,27.54,49.23,7.36,19.423,41.02,25.32,17.57,25.35,39.59,13.12,15.8
2015-12-11,26.55,47.97,6.92,19.13,39.99,24.9,17.21,25.14,38.82,13.31,15.23
2015-12-14,27.03,47.76,6.47,18.36,40.13,25.03,17.28,24.91,38.05,12.63,14.81
2015-12-15,27.39,48.69,6.53,18.39,40.17,25.44,16.94,24.89,38.85,12.54,14.7
2015-12-16,27.72,51.83,6.7,19.08,38.65,25.71,16.81,25.115,39.78,12.8517,14.88
2015-12-17,27.465,52.41,6.12,17.6,38.47,24.95,17.01,24.2,38.57,11.93,14.45
2015-12-18,27.69,51.19,6.2,17.71,38.86,24.87,16.93,23.9,38.25,12.34,14.44
2015-12-21,27.93,51.41,6.24,17.64,39.73,24.45,17.28,24.33,38.48,12.45,14.61
2015-12-22,28.71,54.32,6.42,17.8,41.12,24.88,17.89,24.86,38.6901,12.52,15.18
2015-12-23,30.57,56.3,7.4599,18.15,41.04,26.69,18.12,25.0,38.9,12.75,15.55
2015-12-24,30.39,55.93,7.56,18.54,41.09,26.93,18.16,25.0,39.75,12.93,15.7
2015-12-28,29.91,56.78,6.84,17.9001,40.64,26.27,17.98,25.17,38.62,12.45,15.17
2015-12-29,30.39,56.76,6.97,18.04,40.49,26.67,18.09,25.45,38.75,12.46,15.32
2015-12-30,29.88,56.33,6.761,17.77,40.33,26.35,17.96,26.04,38.22,12.3,15.08
2015-12-31,29.58,56.0,6.76,17.98,40.28,26.13,17.87,25.44,37.03,12.42,14.96
2016-01-04,29.1,55.52,6.5463,18.44,39.55,25.65,17.76,24.07,36.27,12.49,15.0
2016-01-05,27.78,54.67,6.71,18.41,39.98,25.94,17.81,23.86,36.36,12.21,15.01
2016-01-06,25.8,52.3,6.175,18.56,39.35,25.2,17.5,23.81,36.66,12.23,14.74
2016-01-07,24.819,49.96,5.6,18.87,37.34,24.57,17.18,23.08,35.06,13.0,14.22
2016-01-08,24.205,48.99,5.405,18.01,36.42,24.08,16.55,22.08,34.78,12.76,13.83
2016-01-11,24.0,48.05,4.305,17.01,36.13,23.39,16.26,21.99,34.97,11.77,13.02
2016-01-12,21.81,48.95,4.11,17.03,36.27,22.78,16.76,21.58,34.7,11.18,12.755
2016-01-13,21.36,47.71,3.73,17.47,35.61,22.66,16.41,20.93,34.43,11.22,12.47
2016-01-14,21.72,48.89,4.21,17.26,36.23,22.87,16.7,21.21,34.74,11.08,12.6
2016-01-15,20.73,47.9,4.35,17.68,35.16,22.71,15.94,21.58,34.85,11.14,12.21
2016-01-19,20.25,48.41,3.96,16.3,35.28,22.275,16.29,21.215,34.71,10.495,11.98
2016-01-20,20.231,48.0,4.06,16.58,34.98,22.66,15.88,21.43,34.72,10.52,12.105
2016-01-21,21.27,49.44,4.32,16.68,35.0,23.01,15.86,20.29,34.53,10.52,12.36
2016-01-22,20.625,51.29,3.93,16.67,35.37,23.63,16.2,20.71,35.38,10.59,12.37
2016-01-25,20.4,49.99,3.94,17.66,34.87,23.5,15.97,20.04,34.68,10.61,12.21
2016-01-26,21.42,51.89,4.19,18.5,36.55,25.0,16.92,20.32,35.9,11.22,12.87
2016-01-27,20.88,50.86,4.6589,19.43,35.71,24.74,16.69,20.15,35.85,11.245,12.795
2016-01-28,20.97,51.76,4.41,19.52,36.63,24.96,17.42,20.31,35.47,11.1,12.94
2016-01-29,21.87,52.63,4.59,19.98,39.07,25.91,18.35,21.23,37.17,11.75,13.91
2016-02-01,21.6,52.83,4.725,20.53,39.17,25.39,17.98,20.58,36.7,12.07,13.78
2016-02-02,20.91,51.89,4.35,20.06,38.4899,24.17,17.54,20.1,35.6,11.78,13.43
2016-02-03,22.68,53.55,4.84,22.36,39.92,25.41,18.63,20.02,35.53,12.82,14.26
2016-02-04,24.915,51.94,5.72,23.38,40.47,26.92,18.86,20.285,35.91,13.41,15.02
2016-02-05,24.36,51.56,5.67,24.42,39.91,26.5,18.15,19.75,34.92,14.12,14.98
2016-02-08,23.67,48.79,5.26,25.21,39.4,26.08,17.78,19.58,35.0,14.67,14.78
2016-02-09,23.43,49.89,5.0,24.2862,38.9,25.38,17.35,19.25,35.19,14.16,14.32
