,AA,AA,AA,AA,AA,ALB,ALB,ALB,ALB,ALB,FCX,FCX,FCX,FCX,FCX,NEM,NEM,NEM,NEM,NEM,NUE,NUE,NUE,NUE,NUE,ROCK,ROCK,ROCK,ROCK,ROCK,SCCO,SCCO,SCCO,SCCO,SCCO,STLD,STLD,STLD,STLD,STLD,WIRE,WIRE,WIRE,WIRE,WIRE,WPM,WPM,WPM,WPM,WPM,XME,XME,XME,XME,XME
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2015-09-01,27.45,27.96,27.21,27.63,10045277,44.14,44.55,42.6,42.86,1581905,10.09,10.39,9.65,9.76,40140552,17.07,17.44,16.63,16.73,6187724,41.56,42.86,41.56,42.04,1781678.0,16.0,16.36,15.94,15.98,378491.0,25.6,26.14,25.325,25.43,2380796,18.93,19.36,18.65,18.8,2386923,31.75,32.58,31.16,31.3,104874.0,12.28,12.49,11.79,11.83,4113678,20.0,20.39,19.36,19.54,2566452.0
2015-09-02,28.17,28.17,27.03,27.99,11826041,43.5,43.65,42.4,42.73,1406424,10.05,10.05,9.5,9.89,34134347,16.74,16.88,16.02,16.22,7239052,42.78,42.845,42.113,42.81,1237411.0,16.24,16.69,16.12,16.66,165894.0,26.07,26.47,25.5,26.44,1906377,19.14,19.47,18.93,19.44,2811369,31.61,32.02,31.39,31.61,71675.0,11.9,11.9,11.24,11.69,5933465,19.86,19.95,19.17,19.68,2362253.0
2015-09-03,28.2,29.25,28.05,28.68,8907431,43.06,43.06,42.28,42.87,2387661,10.02,10.35,9.86,10.12,37417828,15.98,16.71,15.92,16.19,7061229,43.33,44.54,42.86,42.88,3412149.0,16.69,16.94,16.44,16.5,93540.0,26.47,27.66,26.47,27.16,1660020,19.53,20.145,19.06,19.23,2865544,31.71,32.4097,31.64,32.13,100359.0,11.47,12.245,11.47,11.585,4476816,19.53,20.195,19.491,19.62,2525595.0
2015-09-04,28.17,28.92,27.9,28.47,14570005,42.17,42.515,41.89,42.43,1340179,9.79,9.91,9.5142,9.7,28391510,16.02,16.05,15.46,15.71,7425789,42.49,42.57,41.6,41.68,2972051.0,16.23,16.47,16.08,16.37,107226.0,26.51,27.1,26.19,26.36,1205421,18.92,19.05,18.56,18.69,2596673,31.68,32.4,31.68,32.12,90152.0,11.46,11.51,11.18,11.41,4622913,19.51,19.51,19.05,19.32,2312355.0
2015-09-08,29.61,29.61,28.8,29.145,5487983,43.27,43.27,42.77,42.98,2579629,10.21,10.58,10.08,10.4,60657384,15.82,16.025,15.59,15.95,6596641,43.03,43.03,41.77,42.54,5037441.0,16.76,16.86,16.53,16.56,103505.0,27.49,27.843,27.02,27.74,1684366,19.11,19.64,18.76,19.63,3276701,32.74,33.7,32.45,33.3,105373.0,11.53,11.89,11.44,11.67,3799955,19.77,20.2,19.44,19.68,2128199.0
2015-09-09,29.76,29.805,28.59,28.71,9482079,43.49,44.03,42.91,43.03,1259777,10.77,11.18,10.41,10.74,42790889,15.69,16.085,15.55,15.62,5450984,43.31,43.36,41.5,41.55,4331056.0,16.77,17.07,16.6101,16.76,116456.0,28.39,28.81,27.395,27.5,1799372,20.03,20.03,19.08,19.19,2381326,33.59,34.04,33.24,33.3,86793.0,11.55,11.815,11.31,11.39,4127552,19.95,20.0,19.13,19.31,2145777.0
2015-09-10,28.68,29.16,28.53,28.86,9256961,42.98,43.25,42.4884,42.81,1488426,10.82,11.34,10.78,11.28,51348059,15.73,15.91,15.5,15.56,6243306,41.51,42.33,41.46,41.83,2663191.0,16.67,16.77,16.41,16.5,101400.0,27.74,28.2,27.47,28.13,1540868,19.11,19.3,18.8,19.03,2756564,33.21,33.73,33.07,33.16,97800.0,11.57,11.87,11.33,11.42,6013447,19.26,19.39,18.9,19.01,2456036.0
2015-09-11,28.8,29.25,28.62,28.92,5713840,42.48,42.83,41.6,42.01,679990,11.31,11.64,11.1,11.39,39632164,15.43,16.29,15.43,16.24,8183515,41.8,42.12,41.57,42.1,1198128.0,16.37,17.03,16.37,16.92,203266.0,28.09,28.2,27.715,28.2,960357,18.9,19.07,18.55,18.79,2314464,32.94,33.32,32.23,32.71,55836.0,11.29,11.68,11.03,11.625,6118719,18.94,18.97,18.6099,18.83,1346786.0
2015-09-14,28.74,28.83,27.96,28.14,8875222,41.74,42.23,41.37,41.89,1055739,11.17,11.54,10.88,11.17,27178407,16.02,16.19,15.71,15.88,6686489,41.95,42.0,40.5,40.72,2119657.0,16.92,16.97,16.54,16.67,60646.0,27.97,28.15,27.41,27.7,1341855,18.69,18.71,17.97,18.1,3120673,32.73,32.84,31.99,32.13,52925.0,11.41,11.41,11.0289,11.15,6252942,18.67,18.84,18.1701,18.32,1319802.0
