Symbol,Last Price,Market Cap,EPS Est Next Year,Forward P/E,Div/Share,Trailing Annual Div Rate,Trailing Annual Div Yield,Price/Book
CLF,8.54,3.41B,0.43,19.86,0.12,0.12,1.44%,4.21
ALB,116.73,12.427B,4.07,28.68,1.52,1.52,1.36%,3.01
WIRE,49.94,1.03B,3.35,14.91,0.08,0.08,0.16%,1.26
NEM,66.01,53.03B,4.54,14.54,0.78,1.04,1.53%,2.34
SCCO,54.66,42.256B,2.37,23.06,1.4,1.4,2.56%,6.02
WPM,46.5,20.814B,1.64,28.35,0.38,0.38,0.76%,3.85
STLD,33.35,7.016B,2.6,12.83,0.99,0.99,3.09%,1.67
NUE,50.76,15.324B,3.08,16.48,1.61,1.61,3.33%,1.49
FCX,19.79,28.739B,1.59,12.45,0.1,0.05,0.26%,3.11
AA,15.73,2.925B,-0.02,N/A,0,0.36,2.49%,0.86
